كان بيهلفط 	0	0	0	NEG	
بيبقي ارقي 	0	0	0	NEG	
هذي غيره 	22	0.0462897403475	-0.00410590487232	POS	
وسخه والمفروض 	1	0	-0.00410590487232	POS	
حر 	28015	0.0325536007091	0.0511887248141	NEG	
مش ممكن 	53	0.0320905676323	0.0222917661647	POS	
نعجه 	1029	-0.00447450408675	0.0444144934542	NEG	
بس	375129	0.0701426655472	0.0818930930831	NEG	
اتفشخ 	17	-0.0137372617862	0.0290109139243	NEG	
عدائي 	260	0.0302559907671	0.0175682176449	POS	
هتموت 	63	0.0124839254234	0.0241458758618	NEG	
مثقف 	600	0.0376777531996	0.0137508586801	POS	
بنتش كلب 	0	0	0	NEG	
ذكي 	1679	0.0316120913258	0.0294180849884	POS	
خائن 	1261	0.00162428295359	0.0416889394304	NEG	
عاهه 	613	0.00888516103569	0.0373292938423	NEG	
محارب 	578	0.032917772406	0.0143054098186	POS	
مثقف ومحترم 	0	0	0	NEG	
كتوم 	1867	0.053993710365	0.00281048090598	POS	
مفيش ابداع 	0	0	0	NEG	
لا و 	1522	0.0447487804298	0.0209931874544	POS	
بتضرب 	608	0.00457407515935	0.0410499584334	NEG	
الله 	486544	0.134424282591	0.0373707293551	POS	
عليّ 	2268	0.0454969023737	0.0236718700834	POS	
فاهماها غلط 	0	0	0	NEG	
خبؤ 	43	5.62771232362e-05	0.0339253630149	NEG	
مدفيني	4	0.0446409585523	-0.0247837391674	POS	
راجل كبير علق 	0	0	0	NEG	
قميق 	2	0	0	NEG	
سيسي 	16943	0.0215590190021	0.0537470655966	NEG	
بحبك 	613	0.0594032543351	-0.00155480745526	POS	
طيب 	20316	0.0498604849643	0.0327584027195	POS	
الزانيه 	220	-0.00275164739574	0.0415754006913	NEG	
نقي 	2220	0.0470158552515	0.0156702467873	POS	
مسالم 	108	0.0220614052325	0.0183966499602	POS	
شخصيه محترمه 	0	0	0	NEG	
اولاد الوسخه 	104	-0.0283776360802	0.0437299923407	NEG	
متخلفين بيتفرجوا 	0	0	0	NEG	
منحط 	239	-0.0267601493258	0.0446227553294	NEG	
تاعب نفسه 	8	0	0.0446227553294	NEG	
فقيع 	113	-0.00164154713015	0.0365885049159	NEG	
جدعه و 	31	0.0441166983746	-0.00203464264934	POS	
مصر ال 	52	0.0213809170606	0.0282217967616	NEG	
شخصي 	3066	0.045793728507	0.020989244331	POS	
حكيم 	4390	0.0421462702146	0.023512297517	POS	
ذوق 	5283	0.053803178912	0.0192835383184	POS	
ايممممانك 	1	0.053803178912	0	POS	
جبار 	1240	0.0209151648491	0.02852188851	NEG	
علي 	361141	0.100861757872	0.0676503213195	POS	
مغرور 	334	0.0229305457244	0.019975369015	POS	
ازعل 	4598	0.0472036919022	0.0258436884125	POS	
مجيد 	1805	0.0478616097443	0.0179461274803	POS	
اكيد 	26604	0.0518505853769	0.0368152877175	POS	
تزهق 	110	0.00802680935459	0.0388965524342	NEG	
لقيط 	334	0.0105177657597	0.0343043505121	NEG	
خطير 	590	-0.00267673057289	0.0421602167035	NEG	
اللي اسمك اسكندر 	1	0	0.0421602167035	NEG	
والله بشتم 	0	0	0	NEG	
طعس تفووووو عليك 	1	0	0	NEG	
مقرف 	207	-0.0158602496396	0.040154836472	NEG	
فلول 	3613	-0.0133223140003	0.0498855284185	NEG	
جامدين 	656	0.0250071726783	0.0300885427624	NEG	
موزه 	1061	0.0129663461301	0.0382219176134	NEG	
موهوب وصوته 	2	0.0332072234677	0.0166134446091	POS	
ناصريه 	237	0.00975164966948	0.0310741602355	NEG	
محروقه 	517	0.0248500433675	0.0309583421436	NEG	
صح 	13210	0.0485959394452	0.029653547089	POS	
خنزير 	1329	-0.025713015615	0.0535432903817	NEG	
وسخة 	61	-0.0401933218663	0.0459885054954	NEG	
بتوع السيسي المعرص 	1	-0.0401933218663	0	NEG	
فقيه بلنتي لنصصصصصر 	1	0	0	NEG	
ممل 	1170	0.045587309599	0.0163794595428	POS	
جدعه 	541	0.0460258383094	0.0146762732945	POS	
رحمن 	10717	0.0676877637361	0.00974507418411	POS	
اسطوره 	3618	0.0534448243537	0.0153381036218	POS	
كويسه 	4427	0.066031405211	0.00935343495127	POS	
كسمك 	185	-0.0139209595114	0.0437982612327	NEG	
مؤدب 	156	0.0365760449843	0.00340347299116	POS	
بجحه	184	0.00154193687209	0.0269341247779	NEG	
طموح 	3942	0.0568995331942	0.0125485682182	POS	
كلب 	8618	-0.00600690603344	0.0591350822024	NEG	
اخد افوره 	1	-0.00600690603344	0	NEG	
مرح 	2171	0.055596586307	0.010762033094	POS	
شحات 	445	0.0305292402635	0.0229147881426	POS	
عمتي مريضه 	1	0.0305292402635	0	POS	
ملخبط	839	0.0452486354951	0.0128866871694	POS	
واولاد خشب 	1	0.0452486354951	0	POS	
cool 	45	0.0362365959735	0.00761488518964	POS	
طفران 	489	0.0309361421913	0.0179311917987	POS	
مؤلم 	1243	-0.000335050356019	0.0467874211143	NEG	
اسمر انت حبيبي 	0	0	0	NEG	
زنديق 	430	-0.0273022481361	0.0483752543554	NEG	
مش هتموت 	0	0	0	NEG	
